Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
640,UnL: Anz13.04,149,UCR,HIGH,0.07,20.47,3,0.0103,0.0046,45,0,NA,0.011363636,0.0526,1
805,A. heermannii,149,UCR,HIGH,0.07,20.47,3,0.0559,0.0163,201,3,1,0.011363636,0.0526,1
317,UCR02.07,149,UCR,HIGH,0.07,20.47,4,0.0025,0.0029,NA,0,NA,NA,NA,NA
352,UCR09.05,149,UCR,HIGH,0.07,20.47,4,0.0188,0.005,190,2,0.7,0.011363636,0.0526,1
471,UnH: Cla12.04,149,UCR,HIGH,0.07,20.47,4,0.0132,0.0032,5,8,0.3125,0.011363636,0.0526,1
655,UnL: Anz13.04,149,UCR,HIGH,0.07,20.47,4,0.0108,0.0068,80,0,NA,0.011363636,0.0526,1
830,A. heermannii,149,UCR,HIGH,0.07,20.47,4,0.0508,0.0142,207,16,0.2313,0.011363636,0.0526,1
319,UCR02.07,149,UCR,HIGH,0.07,20.47,5,0.0457,0.0159,878,1,0.1,0.011363636,0.0526,1
360,UCR09.05,149,UCR,HIGH,0.07,20.47,5,0.0056,0.0057,NA,0,NA,NA,NA,NA
519,UnH: Cla12.04,149,UCR,HIGH,0.07,20.47,5,0.0136,0.0048,152,2,1.05,0.011363636,0.0526,1
880,A. heermannii,149,UCR,HIGH,0.07,20.47,5,0.1547,0.0635,1207,40,0.0475,0.011363636,0.0526,1
295,UCR02.07,150,UCR,HIGH,0.07,20.47,1,0.0545,0.0133,495,26,0.1846,0.079545455,0.3684,1
327,UCR09.05,150,UCR,HIGH,0.07,20.47,1,0.0779,0.0283,675,81,0.0938,0.079545455,0.3684,1
373,UnH: Cla12.04,150,UCR,HIGH,0.07,20.47,1,0.0937,0.0188,543,48,0.1813,0.079545455,0.3684,1
576,UnL: Anz13.04,150,UCR,HIGH,0.07,20.47,1,0.0844,0.0243,457,52,0.0981,0.079545455,0.3684,1
755,A. heermannii,150,UCR,HIGH,0.07,20.47,1,0.1198,0.0379,412,65,0.0985,0.079545455,0.3684,1
300,UCR02.07,150,UCR,HIGH,0.07,20.47,2,0.0254,0.0165,170,29,0.1276,0.079545455,0.3684,1
334,UCR09.05,150,UCR,HIGH,0.07,20.47,2,0.0105,0.0035,40,12,NA,0.079545455,0.3684,1
410,UnH: Cla12.04,150,UCR,HIGH,0.07,20.47,2,0.0554,0.0207,2014,22,0.1227,0.079545455,0.3684,1
577,UnL: Anz13.04,150,UCR,HIGH,0.07,20.47,2,0.0505,0.0164,196,55,0.0564,0.079545455,0.3684,1
772,A. heermannii,150,UCR,HIGH,0.07,20.47,2,0.0506,0.0287,217,34,0.0853,0.079545455,0.3684,1
306,UCR02.07,150,UCR,HIGH,0.07,20.47,3,0.1156,0.044,1846,54,0.1981,0.079545455,0.3684,1
340,UCR09.05,150,UCR,HIGH,0.07,20.47,3,0.017,0.0029,109,13,NA,0.079545455,0.3684,1
466,UnH: Cla12.04,150,UCR,HIGH,0.07,20.47,3,0.0905,0.0272,1535,56,0.1107,0.079545455,0.3684,1
628,UnL: Anz13.04,150,UCR,HIGH,0.07,20.47,3,0.0898,0.0225,990,62,0.0919,0.079545455,0.3684,1
811,A. heermannii,150,UCR,HIGH,0.07,20.47,3,0.1928,0.0806,1039,86,0.1233,0.079545455,0.3684,1
314,UCR02.07,150,UCR,HIGH,0.07,20.47,4,0.007,0.0115,-74,35,0.14,0.079545455,0.3684,1
350,UCR09.05,150,UCR,HIGH,0.07,20.47,4,0.1482,0.0409,2206,79,0.1101,0.079545455,0.3684,1
496,UnH: Cla12.04,150,UCR,HIGH,0.07,20.47,4,0.0905,0.0166,587,47,0.1128,0.079545455,0.3684,1
652,UnL: Anz13.04,150,UCR,HIGH,0.07,20.47,4,0.0784,0.0187,891,83,0.059,0.079545455,0.3684,1
861,A. heermannii,150,UCR,HIGH,0.07,20.47,4,0.1388,0.0556,817,65,0.1154,0.079545455,0.3684,1
324,UCR02.07,150,UCR,HIGH,0.07,20.47,5,0.0862,0.028,1713,43,0.1047,0.079545455,0.3684,1
358,UCR09.05,150,UCR,HIGH,0.07,20.47,5,0.0596,0.0216,1253,46,0.1087,0.079545455,0.3684,1
514,UnH: Cla12.04,150,UCR,HIGH,0.07,20.47,5,0.0765,0.0169,1179,51,0.1157,0.079545455,0.3684,1
866,A. heermannii,150,UCR,HIGH,0.07,20.47,5,0.0856,0.057,754,64,0.1266,0.079545455,0.3684,1
292,UCR02.07,151,UCR,HIGH,0.07,20.47,1,0.0354,0.0141,334,27,0.237,0.011363636,0.0526,1
330,UCR09.05,151,UCR,HIGH,0.07,20.47,1,0.0344,0.0158,266,27,0.1296,0.011363636,0.0526,1
371,UnH: Cla12.04,151,UCR,HIGH,0.07,20.47,1,0.0853,0.0211,508,65,0.1031,0.011363636,0.0526,1
551,UnL: Anz13.04,151,UCR,HIGH,0.07,20.47,1,0.0785,0.0184,397,64,0.0609,0.011363636,0.0526,1
752,A. heermannii,151,UCR,HIGH,0.07,20.47,1,0.0709,0.0349,244,78,0.0782,0.011363636,0.0526,1
301,UCR02.07,151,UCR,HIGH,0.07,20.47,2,0.0649,0.0249,479,58,0.1259,0.011363636,0.0526,1
335,UCR09.05,151,UCR,HIGH,0.07,20.47,2,0.0446,0.0184,530,42,0.069,0.011363636,0.0526,1
397,UnH: Cla12.04,151,UCR,HIGH,0.07,20.47,2,0.0678,0.0176,2272,30,0.2733,0.011363636,0.0526,1
584,UnL: Anz13.04,151,UCR,HIGH,0.07,20.47,2,0.0915,0.0325,449,62,0.15,0.011363636,0.0526,1
773,A. heermannii,151,UCR,HIGH,0.07,20.47,2,0.0746,0.0378,350,42,0.1405,0.011363636,0.0526,1
309,UCR02.07,151,UCR,HIGH,0.07,20.47,3,0.0882,0.0274,1310,41,0.2268,0.011363636,0.0526,1
343,UCR09.05,151,UCR,HIGH,0.07,20.47,3,0.0543,0.022,703,38,0.1526,0.011363636,0.0526,1
468,UnH: Cla12.04,151,UCR,HIGH,0.07,20.47,3,0.093,0.0305,1615,59,0.1102,0.011363636,0.0526,1
637,UnL: Anz13.04,151,UCR,HIGH,0.07,20.47,3,0.0423,0.0194,499,38,0.1079,0.011363636,0.0526,1
809,A. heermannii,151,UCR,HIGH,0.07,20.47,3,0.1075,0.0478,547,69,0.1377,0.011363636,0.0526,1
316,UCR02.07,151,UCR,HIGH,0.07,20.47,4,0.0691,0.0234,29,48,0.1292,0.011363636,0.0526,1
348,UCR09.05,151,UCR,HIGH,0.07,20.47,4,0.0925,0.0365,1473,108,0.0833,0.011363636,0.0526,1
500,UnH: Cla12.04,151,UCR,HIGH,0.07,20.47,4,0.0862,0.0212,588,70,0.1114,0.011363636,0.0526,1
661,UnL: Anz13.04,151,UCR,HIGH,0.07,20.47,4,0.0819,0.0215,955,99,0.099,0.011363636,0.0526,1
840,A. heermannii,151,UCR,HIGH,0.07,20.47,4,0.1478,0.043,800,171,0.0497,0.011363636,0.0526,1
321,UCR02.07,151,UCR,HIGH,0.07,20.47,5,0.1639,0.0442,3203,77,0.174,0.011363636,0.0526,1
355,UCR09.05,151,UCR,HIGH,0.07,20.47,5,DEAD,DEAD,NA,NA,NA,NA,NA,NA
525,UnH: Cla12.04,151,UCR,HIGH,0.07,20.47,5,0.1155,0.0237,1807,85,0.1224,0.011363636,0.0526,1
872,A. heermannii,151,UCR,HIGH,0.07,20.47,5,0.0848,0.0312,595,136,0.0603,0.011363636,0.0526,1
291,UCR02.07,152,UCR,HIGH,0.07,20.47,1,0.1195,0.0268,1183,32,0.2031,0.011363636,NA,1
332,UCR09.05,152,UCR,HIGH,0.07,20.47,1,0.1242,0.0396,1096,63,0.1365,0.011363636,NA,1
380,UnH: Cla12.04,152,UCR,HIGH,0.07,20.47,1,0.0965,0.0312,630,38,0.2158,0.011363636,NA,1
544,UnL: Anz13.04,152,UCR,HIGH,0.07,20.47,1,0.1223,0.0291,676,63,0.1032,0.011363636,NA,1
747,A. heermannii,152,UCR,HIGH,0.07,20.47,1,0.1357,0.0435,482,41,0.1366,0.011363636,NA,1
304,UCR02.07,152,UCR,HIGH,0.07,20.47,2,0.058,0.0224,419,33,0.2485,0.011363636,NA,1
336,UCR09.05,152,UCR,HIGH,0.07,20.47,2,0.0476,0.0171,547,38,0.1447,0.011363636,NA,1
409,UnH: Cla12.04,152,UCR,HIGH,0.07,20.47,2,0.0621,0.0227,2256,55,0.0818,0.011363636,NA,1
601,UnL: Anz13.04,152,UCR,HIGH,0.07,20.47,2,0.0735,0.0202,315,70,0.0914,0.011363636,NA,1
786,A. heermannii,152,UCR,HIGH,0.07,20.47,2,0.0957,0.0286,397,33,0.1485,0.011363636,NA,1
305,UCR02.07,152,UCR,HIGH,0.07,20.47,3,0.045,0.0157,640,27,0.1963,0.011363636,NA,1
341,UCR09.05,152,UCR,HIGH,0.07,20.47,3,0.0525,0.0238,703,26,0.1808,0.011363636,NA,1
467,UnH: Cla12.04,152,UCR,HIGH,0.07,20.47,3,0.0361,0.0119,567,16,0.1438,0.011363636,NA,1
632,UnL: Anz13.04,152,UCR,HIGH,0.07,20.47,3,0.0537,0.0174,590,31,0.1645,0.011363636,NA,1
822,A. heermannii,152,UCR,HIGH,0.07,20.47,3,0.0469,0.0302,221,26,0.2577,0.011363636,NA,1
313,UCR02.07,152,UCR,HIGH,0.07,20.47,4,0.056,0.017,2,18,0.25,0.011363636,NA,1
349,UCR09.05,152,UCR,HIGH,0.07,20.47,4,0.0625,0.018,882,64,0.0922,0.011363636,NA,1
497,UnH: Cla12.04,152,UCR,HIGH,0.07,20.47,4,0.0779,0.0145,492,24,0.1458,0.011363636,NA,1
674,UnL: Anz13.04,152,UCR,HIGH,0.07,20.47,4,0.0494,0.0077,483,52,0.0538,0.011363636,NA,1
863,A. heermannii,152,UCR,HIGH,0.07,20.47,4,0.1206,0.0429,671,32,0.1781,0.011363636,NA,1
323,UCR02.07,152,UCR,HIGH,0.07,20.47,5,0.0696,0.0242,1389,39,0.1744,0.011363636,NA,1
359,UCR09.05,152,UCR,HIGH,0.07,20.47,5,0.0499,0.0137,960,43,0.0884,0.011363636,NA,1
531,UnH: Cla12.04,152,UCR,HIGH,0.07,20.47,5,0.0898,0.0257,1482,45,0.3489,0.011363636,NA,1
898,A. heermannii,152,UCR,HIGH,0.07,20.47,5,0.1309,0.0595,1040,81,0.0679,0.011363636,NA,1
125,Yuc02.07,153,YUC,LOW,0.03,7.04,1,0.0463,0.0168,126,42,0.1,0.025641026,0.0714,1
147,Yuc02.01,153,YUC,LOW,0.03,7.04,1,0.0568,0.0168,300,55,0.08,0.025641026,0.0714,1
369,UnH: Cla12.04,153,YUC,LOW,0.03,7.04,1,0.0688,0.018,1278,49,0.0918,0.025641026,0.0714,1
555,UnL: Anz13.04,153,YUC,LOW,0.03,7.04,1,0.098,0.0286,817,83,0.088,0.025641026,0.0714,1
737,A. heermannii,153,YUC,LOW,0.03,7.04,1,0.0838,0.0244,349,39,0.1026,0.025641026,0.0714,1
128,Yuc02.07,153,YUC,LOW,0.03,7.04,2,0.0532,0.0208,390,49,0.1061,0.025641026,0.0714,1
155,Yuc02.01,153,YUC,LOW,0.03,7.04,2,0.0606,0.0247,293,50,0.138,0.025641026,0.0714,1
414,UnH: Cla12.04,153,YUC,LOW,0.03,7.04,2,0.05,0.0164,1444,36,0.1,0.025641026,0.0714,1
583,UnL: Anz13.04,153,YUC,LOW,0.03,7.04,2,0.0689,0.0211,481,75,0.1027,0.025641026,0.0714,1
762,A. heermannii,153,YUC,LOW,0.03,7.04,2,0.0729,0.0321,231,49,0.102,0.025641026,0.0714,1
135,Yuc02.07,153,YUC,LOW,0.03,7.04,3,0.0454,0.0179,372,49,0.1367,0.025641026,0.0714,1
157,Yuc02.01,153,YUC,LOW,0.03,7.04,3,0.0405,0.0192,168,46,0.0935,0.025641026,0.0714,1
445,UnH: Cla12.04,153,YUC,LOW,0.03,7.04,3,0.0324,0.0115,546,28,0.1286,0.025641026,0.0714,1
618,UnL: Anz13.04,153,YUC,LOW,0.03,7.04,3,0.0316,0.0133,235,44,0.0841,0.025641026,0.0714,1
817,A. heermannii,153,YUC,LOW,0.03,7.04,3,0.0528,0.0257,269,40,0.1025,0.025641026,0.0714,1
137,Yuc02.07,153,YUC,LOW,0.03,7.04,4,0.1473,0.0382,1274,28,0.3393,0.025641026,0.0714,1
165,Yuc02.01,153,YUC,LOW,0.03,7.04,4,0.1232,0.0317,961,63,0.1476,0.025641026,0.0714,1
492,UnH: Cla12.04,153,YUC,LOW,0.03,7.04,4,0.0815,0.0154,1192,52,0.0962,0.025641026,0.0714,1
671,UnL: Anz13.04,153,YUC,LOW,0.03,7.04,4,0.0882,0.0142,327,86,0.0779,0.025641026,0.0714,1
829,A. heermannii,153,YUC,LOW,0.03,7.04,4,0.1774,0.0606,701,58,0.1759,0.025641026,0.0714,1
142,Yuc02.07,153,YUC,LOW,0.03,7.04,5,0.1457,0.0419,1087,122,0.1066,0.025641026,0.0714,1
170,Yuc02.01,153,YUC,LOW,0.03,7.04,5,0.0064,0.0023,-51,28,0.0929,0.025641026,0.0714,1
539,UnH: Cla12.04,153,YUC,LOW,0.03,7.04,5,0.1246,0.029,3646,125,0.0832,0.025641026,0.0714,1
870,A. heermannii,153,YUC,LOW,0.03,7.04,5,0.148,0.0544,1012,129,0.086,0.025641026,0.0714,1
124,Yuc02.07,154,YUC,LOW,0.03,7.04,1,0.1156,0.0319,429,68,0.0721,0.128205128,0.2143,3
146,Yuc02.01,154,YUC,LOW,0.03,7.04,1,0.088,0.0221,498,46,0.1022,0.128205128,0.2143,3
386,UnH: Cla12.04,154,YUC,LOW,0.03,7.04,1,0.1347,0.0287,2494,34,0.1794,0.128205128,0.2143,3
568,UnL: Anz13.04,154,YUC,LOW,0.03,7.04,1,0.0978,0.0241,783,61,0.1607,0.128205128,0.2143,3
754,A. heermannii,154,YUC,LOW,0.03,7.04,1,0.1021,0.0409,493,50,0.11,0.128205128,0.2143,3
126,Yuc02.07,154,YUC,LOW,0.03,7.04,2,0.0971,0.0354,777,69,0.1464,0.128205128,0.2143,3
153,Yuc02.01,154,YUC,LOW,0.03,7.04,2,0.0877,0.0284,435,70,0.1657,0.128205128,0.2143,3
415,UnH: Cla12.04,154,YUC,LOW,0.03,7.04,2,0.0891,0.0212,2465,56,0.0929,0.128205128,0.2143,3
594,UnL: Anz13.04,154,YUC,LOW,0.03,7.04,2,0.07,0.0182,469,59,0.1237,0.128205128,0.2143,3
792,A. heermannii,154,YUC,LOW,0.03,7.04,2,0.1245,0.0392,416,36,0.2028,0.128205128,0.2143,3
134,Yuc02.07,154,YUC,LOW,0.03,7.04,3,0.1201,0.039,1087,73,0.1288,0.128205128,0.2143,3
156,Yuc02.01,154,YUC,LOW,0.03,7.04,3,0.0753,0.0228,340,83,0.1205,0.128205128,0.2143,3
463,UnH: Cla12.04,154,YUC,LOW,0.03,7.04,3,0.0911,0.0261,1624,54,0.1741,0.128205128,0.2143,3
634,UnL: Anz13.04,154,YUC,LOW,0.03,7.04,3,0.1052,0.0316,921,75,0.1307,0.128205128,0.2143,3
825,A. heermannii,154,YUC,LOW,0.03,7.04,3,0.0695,0.0486,454,69,0.1072,0.128205128,0.2143,3
138,Yuc02.07,154,YUC,LOW,0.03,7.04,4,0.1588,0.0415,1384,63,0.146,0.128205128,0.2143,3
162,Yuc02.01,154,YUC,LOW,0.03,7.04,4,0.1254,0.036,1005,67,0.1284,0.128205128,0.2143,3
483,UnH: Cla12.04,154,YUC,LOW,0.03,7.04,4,0.1135,0.022,1707,61,0.0852,0.128205128,0.2143,3
675,UnL: Anz13.04,154,YUC,LOW,0.03,7.04,4,0.1028,0.0203,413,91,0.0549,0.128205128,0.2143,3
848,A. heermannii,154,YUC,LOW,0.03,7.04,4,0.1282,0.0487,496,24,0.2958,0.128205128,0.2143,3
145,Yuc02.07,154,YUC,LOW,0.03,7.04,5,0.0997,0.0353,754,49,0.1755,0.128205128,0.2143,3
167,Yuc02.01,154,YUC,LOW,0.03,7.04,5,0.1102,0.0211,638,42,0.1,0.128205128,0.2143,3
508,UnH: Cla12.04,154,YUC,LOW,0.03,7.04,5,0.1186,0.0212,3310,58,0.1241,0.128205128,0.2143,3
869,A. heermannii,154,YUC,LOW,0.03,7.04,5,0.1626,0.0685,1170,99,0.1434,0.128205128,0.2143,3
123,Yuc02.07,155,YUC,LOW,0.03,7.04,1,0.0234,0.01,20,77,0.1143,0.230769231,0.2857,2
150,Yuc02.01,155,YUC,LOW,0.03,7.04,1,0.0294,0.011,120,81,0.1247,0.230769231,0.2857,2
391,UnH: Cla12.04,155,YUC,LOW,0.03,7.04,1,0.0107,0.004,133,48,0.1104,0.230769231,0.2857,2
552,UnL: Anz13.04,155,YUC,LOW,0.03,7.04,1,0.02,0.0071,96,72,0.1,0.230769231,0.2857,2
735,A. heermannii,155,YUC,LOW,0.03,7.04,1,0.0322,0.0182,109,82,0.1073,0.230769231,0.2857,2
130,Yuc02.07,155,YUC,LOW,0.03,7.04,2,0.0251,0.0115,142,136,0.0838,0.230769231,0.2857,2
151,Yuc02.01,155,YUC,LOW,0.03,7.04,2,0.0113,0.0057,-22,54,0.1204,0.230769231,0.2857,2
400,UnH: Cla12.04,155,YUC,LOW,0.03,7.04,2,0.0336,0.0125,972,87,0.1425,0.230769231,0.2857,2
582,UnL: Anz13.04,155,YUC,LOW,0.03,7.04,2,0.0179,0.0061,55,60,0.0933,0.230769231,0.2857,2
767,A. heermannii,155,YUC,LOW,0.03,7.04,2,0.0239,0.0111,10,135,0.0593,0.230769231,0.2857,2
131,Yuc02.07,155,YUC,LOW,0.03,7.04,3,0.0287,0.015,226,95,0.1274,0.230769231,0.2857,2
160,Yuc02.01,155,YUC,LOW,0.03,7.04,3,0.0133,0.0066,-11,53,0.1057,0.230769231,0.2857,2
453,UnH: Cla12.04,155,YUC,LOW,0.03,7.04,3,0.0152,0.0063,216,51,0.1353,0.230769231,0.2857,2
617,UnL: Anz13.04,155,YUC,LOW,0.03,7.04,3,0.0109,0.0047,16,99,0.0545,0.230769231,0.2857,2
815,A. heermannii,155,YUC,LOW,0.03,7.04,3,0.0302,0.0212,141,132,0.0795,0.230769231,0.2857,2
140,Yuc02.07,155,YUC,LOW,0.03,7.04,4,0.0228,0.008,128,73,0.1356,0.230769231,0.2857,2
163,Yuc02.01,155,YUC,LOW,0.03,7.04,4,0.0158,0.0055,46,43,0.1256,0.230769231,0.2857,2
484,UnH: Cla12.04,155,YUC,LOW,0.03,7.04,4,0.0172,0.0047,192,50,0.1,0.230769231,0.2857,2
668,UnL: Anz13.04,155,YUC,LOW,0.03,7.04,4,0.012,0.0038,-34,43,0.093,0.230769231,0.2857,2
856,A. heermannii,155,YUC,LOW,0.03,7.04,4,0.0314,0.0107,42,99,0.0869,0.230769231,0.2857,2
143,Yuc02.07,155,YUC,LOW,0.03,7.04,5,0.0176,0.0075,59,69,0.1246,0.230769231,0.2857,2
166,Yuc02.01,155,YUC,LOW,0.03,7.04,5,0.0178,0.0065,37,45,0.2111,0.230769231,0.2857,2
530,UnH: Cla12.04,155,YUC,LOW,0.03,7.04,5,0.0062,0.0022,105,34,0.0971,0.230769231,0.2857,2
891,A. heermannii,155,YUC,LOW,0.03,7.04,5,0.0451,0.0197,256,171,0.0754,0.230769231,0.2857,2
122,Yuc02.07,156,YUC,LOW,0.03,7.04,1,0.0653,0.0302,242,56,0.2518,0.615384615,0.2857,2
148,Yuc02.01,156,YUC,LOW,0.03,7.04,1,0.0407,0.0093,172,56,0.2357,0.615384615,0.2857,2
387,UnH: Cla12.04,156,YUC,LOW,0.03,7.04,1,0.0446,0.0117,794,62,0.1774,0.615384615,0.2857,2
558,UnL: Anz13.04,156,YUC,LOW,0.03,7.04,1,0.0466,0.015,346,38,0.2974,0.615384615,0.2857,2
740,A. heermannii,156,YUC,LOW,0.03,7.04,1,0.0719,0.0312,328,54,0.15,0.615384615,0.2857,2
129,Yuc02.07,156,YUC,LOW,0.03,7.04,2,0.0234,0.0106,125,48,0.2063,0.615384615,0.2857,2
154,Yuc02.01,156,YUC,LOW,0.03,7.04,2,0.021,0.0068,28,49,0.1714,0.615384615,0.2857,2
401,UnH: Cla12.04,156,YUC,LOW,0.03,7.04,2,0.0374,0.0104,1012,43,0.214,0.615384615,0.2857,2
599,UnL: Anz13.04,156,YUC,LOW,0.03,7.04,2,0.0302,0.0107,164,68,0.1618,0.615384615,0.2857,2
777,A. heermannii,156,YUC,LOW,0.03,7.04,2,0.0303,0.0189,55,147,0.0456,0.615384615,0.2857,2
132,Yuc02.07,156,YUC,LOW,0.03,7.04,3,0.0329,0.0157,263,22,0.6364,0.615384615,0.2857,2
158,Yuc02.01,156,YUC,LOW,0.03,7.04,3,0.0337,0.0128,109,44,0.3864,0.615384615,0.2857,2
433,UnH: Cla12.04,156,YUC,LOW,0.03,7.04,3,0.0335,0.0104,546,79,0.1215,0.615384615,0.2857,2
619,UnL: Anz13.04,156,YUC,LOW,0.03,7.04,3,0.027,0.0091,169,61,0.1623,0.615384615,0.2857,2
823,A. heermannii,156,YUC,LOW,0.03,7.04,3,0.0609,0.0296,325,94,0.116,0.615384615,0.2857,2
136,Yuc02.07,156,YUC,LOW,0.03,7.04,4,0.0583,0.0152,444,62,0.2871,0.615384615,0.2857,2
164,Yuc02.01,156,YUC,LOW,0.03,7.04,4,0.0531,0.0161,374,72,0.3347,0.615384615,0.2857,2
472,UnH: Cla12.04,156,YUC,LOW,0.03,7.04,4,0.0314,0.0073,416,27,0.2667,0.615384615,0.2857,2
681,UnL: Anz13.04,156,YUC,LOW,0.03,7.04,4,0.0051,0.0041,-62,22,0.0409,0.615384615,0.2857,2
860,A. heermannii,156,YUC,LOW,0.03,7.04,4,0.1058,0.0324,365,172,0.0965,0.615384615,0.2857,2
144,Yuc02.07,156,YUC,LOW,0.03,7.04,5,0.0402,0.0187,273,88,0.1636,0.615384615,0.2857,2
168,Yuc02.01,156,YUC,LOW,0.03,7.04,5,0.0427,0.0218,262,81,0.2654,0.615384615,0.2857,2
532,UnH: Cla12.04,156,YUC,LOW,0.03,7.04,5,0.0432,0.0101,1200,72,0.1347,0.615384615,0.2857,2
892,A. heermannii,156,YUC,LOW,0.03,7.04,5,0.0518,0.0276,336,147,0.0592,0.615384615,0.2857,2
65,Anz11.01,157,ANZ,LOW,0.01,2.02,1,0.0999,0.024,612,43,0.0907,0.022727273,0.0222,1
93,Anz10.01,157,ANZ,LOW,0.01,2.02,1,0.0425,0.0119,2490,16,0.0688,0.022727273,0.0222,1
377,UnH: Cla12.04,157,ANZ,LOW,0.01,2.02,1,0.066,0.0166,734,36,0.0972,0.022727273,0.0222,1
569,UnL: Anz13.04,157,ANZ,LOW,0.01,2.02,1,0.0715,0.0125,324,33,0.0576,0.022727273,0.0222,1
739,A. heermannii,157,ANZ,LOW,0.01,2.02,1,0.1342,0.0479,1290,65,0.1108,0.022727273,0.0222,1
69,Anz11.01,157,ANZ,LOW,0.01,2.02,2,0.0543,0.0207,321,31,0.1258,0.022727273,0.0222,1
98,Anz10.01,157,ANZ,LOW,0.01,2.02,2,0.0358,0.0175,819,23,0.1,0.022727273,0.0222,1
405,UnH: Cla12.04,157,ANZ,LOW,0.01,2.02,2,0.0535,0.0117,1024,20,0.2,0.022727273,0.0222,1
593,UnL: Anz13.04,157,ANZ,LOW,0.01,2.02,2,0.0574,0.02,715,41,0.1268,0.022727273,0.0222,1
764,A. heermannii,157,ANZ,LOW,0.01,2.02,2,0.0438,0.0259,180,35,NA,0.022727273,0.0222,1
78,Anz11.01,157,ANZ,LOW,0.01,2.02,3,0.1468,0.0593,1844,76,0.1882,0.022727273,0.0222,1
107,Anz10.01,157,ANZ,LOW,0.01,2.02,3,0.0656,0.0263,899,32,0.1813,0.022727273,0.0222,1
461,UnH: Cla12.04,157,ANZ,LOW,0.01,2.02,3,0.0935,0.0354,1715,53,0.1302,0.022727273,0.0222,1
644,UnL: Anz13.04,157,ANZ,LOW,0.01,2.02,3,0.1386,0.0312,870,79,0.1266,0.022727273,0.0222,1
797,A. heermannii,157,ANZ,LOW,0.01,2.02,3,0.173,0.072,722,57,0.2018,0.022727273,0.0222,1
83,Anz11.01,157,ANZ,LOW,0.01,2.02,4,0.1445,0.0359,835,86,0.1047,0.022727273,0.0222,1
110,Anz10.01,157,ANZ,LOW,0.01,2.02,4,0.0018,0.0009,-84,9,0.1111,0.022727273,0.0222,1
495,UnH: Cla12.04,157,ANZ,LOW,0.01,2.02,4,0.0915,0.0242,1277,52,0.1481,0.022727273,0.0222,1
670,UnL: Anz13.04,157,ANZ,LOW,0.01,2.02,4,0.0831,0.0246,358,73,0.0685,0.022727273,0.0222,1
841,A. heermannii,157,ANZ,LOW,0.01,2.02,4,0.1116,0.0487,694,51,0.1157,0.022727273,0.0222,1
85,Anz11.01,157,ANZ,LOW,0.01,2.02,5,0.12,0.0372,803,71,0.1239,0.022727273,0.0222,1
528,UnH: Cla12.04,157,ANZ,LOW,0.01,2.02,5,0.0578,0.0133,1170,29,0.1621,0.022727273,0.0222,1
868,A. heermannii,157,ANZ,LOW,0.01,2.02,5,0.1296,0.0561,1012,29,0.2448,0.022727273,0.0222,1
64,Anz11.01,158,ANZ,LOW,0.01,2.02,1,0.0894,0.0298,585,52,0.125,0.522727273,0.0667,3
96,Anz10.01,158,ANZ,LOW,0.01,2.02,1,0.0364,0.014,2300,31,0.0581,0.522727273,0.0667,3
383,UnH: Cla12.04,158,ANZ,LOW,0.01,2.02,1,0.0731,0.0156,796,29,0.1172,0.522727273,0.0667,3
559,UnL: Anz13.04,158,ANZ,LOW,0.01,2.02,1,0.0681,0.0147,318,41,0.0927,0.522727273,0.0667,3
734,A. heermannii,158,ANZ,LOW,0.01,2.02,1,0.0975,0.0516,1038,36,0.1472,0.522727273,0.0667,3
70,Anz11.01,158,ANZ,LOW,0.01,2.02,2,0.0702,0.0255,438,63,0.1492,0.522727273,0.0667,3
99,Anz10.01,158,ANZ,LOW,0.01,2.02,2,0.0199,0.0052,333,34,0.0853,0.522727273,0.0667,3
419,UnH: Cla12.04,158,ANZ,LOW,0.01,2.02,2,0.055,0.0175,1150,60,0.1033,0.522727273,0.0667,3
598,UnL: Anz13.04,158,ANZ,LOW,0.01,2.02,2,0.0526,0.0159,621,64,0.1063,0.522727273,0.0667,3
778,A. heermannii,158,ANZ,LOW,0.01,2.02,2,0.0052,0.0016,-73,0,NA,0.522727273,0.0667,3
73,Anz11.01,158,ANZ,LOW,0.01,2.02,3,0.084,0.0369,1041,75,0.1187,0.522727273,0.0667,3
104,Anz10.01,158,ANZ,LOW,0.01,2.02,3,0.0488,0.0233,684,58,0.1276,0.522727273,0.0667,3
449,UnH: Cla12.04,158,ANZ,LOW,0.01,2.02,3,0.0666,0.018,1092,69,0.0942,0.522727273,0.0667,3
642,UnL: Anz13.04,158,ANZ,LOW,0.01,2.02,3,0.1292,0.0349,838,102,0.1716,0.522727273,0.0667,3
824,A. heermannii,158,ANZ,LOW,0.01,2.02,3,0.1352,0.0536,534,128,0.1125,0.522727273,0.0667,3
81,Anz11.01,158,ANZ,LOW,0.01,2.02,4,0.0671,0.0183,342,42,0.1167,0.522727273,0.0667,3
113,Anz10.01,158,ANZ,LOW,0.01,2.02,4,0.0301,0.0069,116,32,0.0906,0.522727273,0.0667,3
