Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
10,BMR01.03,136,BMR,LOW,0.01,4.08,2,0.0468,0.0166,1194,27,0.1815,0.138686131,0.1111,9
40,BMR07.03,136,BMR,LOW,0.01,4.08,2,0.057,0.0177,507,27,0.2296,0.138686131,0.1111,9
429,UnH: Cla12.04,136,BMR,LOW,0.01,4.08,2,0.0798,0.0263,1394,63,0.0921,0.138686131,0.1111,9
602,UnL: Anz13.04,136,BMR,LOW,0.01,4.08,2,0.0729,0.0223,167,48,0.1521,0.138686131,0.1111,9
771,A. heermannii,136,BMR,LOW,0.01,4.08,2,0.0943,0.0388,459,49,0.1347,0.138686131,0.1111,9
16,BMR01.03,136,BMR,LOW,0.01,4.08,3,0.1293,0.032,2110,37,0.2892,0.138686131,0.1111,9
46,BMR07.03,136,BMR,LOW,0.01,4.08,3,0.143,0.0397,1640,55,0.3382,0.138686131,0.1111,9
457,UnH: Cla12.04,136,BMR,LOW,0.01,4.08,3,0.1328,0.0364,1452,72,0.1347,0.138686131,0.1111,9
629,UnL: Anz13.04,136,BMR,LOW,0.01,4.08,3,0.088,0.0186,361,88,0.092,0.138686131,0.1111,9
807,A. heermannii,136,BMR,LOW,0.01,4.08,3,0.2212,0.0831,987,64,0.1969,0.138686131,0.1111,9
20,BMR01.03,136,BMR,LOW,0.01,4.08,4,0.0886,0.0278,1355,24,0.3375,0.138686131,0.1111,9
50,BMR07.03,136,BMR,LOW,0.01,4.08,4,0.0924,0.0332,2029,42,0.3024,0.138686131,0.1111,9
486,UnH: Cla12.04,136,BMR,LOW,0.01,4.08,4,0.1023,0.0282,2410,44,0.1614,0.138686131,0.1111,9
683,UnL: Anz13.04,136,BMR,LOW,0.01,4.08,4,0.0673,0.0182,294,53,0.1019,0.138686131,0.1111,9
852,A. heermannii,136,BMR,LOW,0.01,4.08,4,0.1072,0.0406,796,49,0.1551,0.138686131,0.1111,9
29,BMR01.03,136,BMR,LOW,0.01,4.08,5,0.0409,0.0222,409,12,0.4,0.138686131,0.1111,9
57,BMR07.03,136,BMR,LOW,0.01,4.08,5,0.0416,0.0187,403,13,0.3615,0.138686131,0.1111,9
517,UnH: Cla12.04,136,BMR,LOW,0.01,4.08,5,0.0307,0.012,345,17,0.1706,0.138686131,0.1111,9
896,A. heermannii,136,BMR,LOW,0.01,4.08,5,0.0488,0.0303,278,34,0.1059,0.138686131,0.1111,9
172,Gri01.01,137,GRI,HIGH,0.04,6.7,1,0.1012,0.0161,475,38,0.1237,0.058823529,0.25,1
